99
8357777158805148982606865407506,473
-5211857039956027376729307684698937213098623592,5776137519737495127370613001799371947952
404724315836,94087385876698621741316884762547406476147268419631863897091536275087294648
1332792561710984414679290841234255675243568164907799581761189957382578050,56916192040243750884
49290657778272713586941606958447279050759340832171140531190257139632730739636051548,-117303157290824020430144944072254651506213458751226439641343814509555395614859671695551
15509085497783835095438313724858012609526571652,2592359981355987989541122880429
6375,-1646681337099993448271432562110764551149576066
-357827145508175049585475353719278250183366474260460753599856928222431976069603029122850,-4148978329832164946314478309747301951761592174536158752785938
-1063584049598911,-62121934389569502149185736048234001193972726098231819
930406074768843663571773164504063820073052762250045312766775931129266275491853474152221991,-14787773597003496737111631313454700146860222435053316044949868615826884807202786
99493829421195504785107582523198362962921235578658443581266768046141,9986872483702445324621420216466334740904313161417740124519869603230435678
13705448921906076381734171343168906,40367734703958509684776836706685
127766638402721914,7557468984224183783078583593552204886742167056840330337433901098434051856248100
17861697294605253651,620157464534743016410237538026256481628611
30041529755,10299106972031140466031730970
6133789693596714627452333876244956583083160077492322260480159915335851841443658,-2420236077344002559320691732929148979890875454
-5959853930954611190651581770666125351433103836486236046378281215451781725868141,24190583671820083005783
3764903937751866,-2363988541226073297430895862092091666599846919
87909999043074118825835030036772470803437493534803294923928400438169637980250375,-49842198493261244497187932591129931363195395795
287692816556170,2143900936227941394119227473556896240404706269085047947624759821513936945743
150413271698094596405036870104670821816739,-33598754217879337768410161410888157897
-2870064217388483913248898628845779202154545264763627229176578996804153414567253495,-434154121165805410541026797756311273722210469
-1,-8209429209653987533097866359
-407978246761807704473624705637908606983559601694917492339478615265803307993,75384445743937864108430518635258817468317375036842054830448655404057647414
34748369985467230819353,4929564018273598338052614263709972728366324792
-45567664419304973872193863206679181,400728573485064509178331387020738189824751644605137288735799634239426273107656697901276
120133465322877275406915045825347060284913589214926820703113912,5006443703542298632
880774444702086345645930925336371733787208663905294887388051286879888721,-396785672371692015950972196362364252048279625602650521204206409865400151635460
9529993292551982154556702942112716,545535556214540257651
-557630256191779630559947,-147657579449050495867536078649956236090905306407117163268170567085055192245099078
-1949472622604287791177286719178345165811424378538655233256557698068370,-30
-1028889378857585516422480746586216793410686885281601624459536929976364154251,-232801194508326008066380067264365285754124181436033826308960829753679609118960993121
-2,5034561877802402566447686915185931100641716157444631365888710764139223014
590169928109188807291700790383549906765715339973924383291656167524161647858840456233182,34187929076617546442913314504587533527506068491905872302291724834
467126215374497459090,-104174350743010259621386194085905876587922689802748701192
159293147238550370093004133166428478655751229,-7266356011258715107673462262702971153892423656099
-34563053668181443437033983752427,-2204948731010038162860696
10501723166429928881900136027994561871075794119919074325035401789152045590367358,3117909295815564083026527
-4800445230152178969298355731896263110734995176613119863062392175946024876109840644,2120017091104458578228165403860203317194021203
-181116875933073860426722601951052313924339081454432694699825633406081583,-7664983184295464954219143892951994670831948276216510764
-427765932496773340477279081731301067942810342590014714587927228125427825746980489374664,6616827432049059229898061688695701934659915770495347317635185571608276505384137653
-255540369840613938547598640747022977617234661,-40471201235216904535179155015501
-294343301368696173118,-108846571717574367105916152306654208969907431962353866382776314251162226209187877
-5179241201699891228943153179142357549895855350543760045278718431731626,2295147093668725964995501066623796259674540181798724
-2076999419326938929480589411398493745737616898687558395929211863,-38568803576805446820570284963419106539176577914484843175099139809166266827302661502513017
2698156181563847217590475,-306941898465324358287242051385589915172
3160578818324500259490175090606810944967527373318092822344609692500,74848011945813145125036901605346633175427707841049317783282542907222824888810802092274243
-506076606048812,567655612515986900038724432950338143563033440896703816198296
-12225164792924878980739691998253384892265155199320932601552499176126,1866424052504232179750955486543187528520619664460726826416983931
-242007990,58
-26729,-972856938112428049890613
-10467259424183743877763897031058777969064937056209379825973543326235480011603360201333606,-28923069
561790400275724822304651250074357301191463976987307202672061,164875112969561364541
